,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
168401,porsche,Porsche Macan,black,23-May,2023,76960,195,265,Automatic,Petrol,"10,2 l/100 km",200 g/km,6800,T 2.0 Modell 2023 *BALD VERFÜGBAR*
243968,volkswagen,Volkswagen T6.1 Multivan,bronze,22-Oct,2022,76960,150,204,Automatic,Diesel,7 l/100 km,185 g/km,13300,Generation Six TDi 4M DSG Dynamikfahrwerk / Rückfa
20038,audi,Audi e-tron,red,21-Jun,2021,76950,300,408,Automatic,Electric,,369 km Reichweite,6380,Sportback 55 S-Line Klima Navi Rückfahrkamera
22271,audi,Audi RS3,red,23-Jun,2023,76950,294,400,Automatic,Petrol,9 l/100 km,204 g/km,1100,ACC+B&S SOUND+HUD+MATRIX+PANO
42309,bmw,BMW M850,grey,22-Jul,2022,76950,390,530,Automatic,Petrol,,#NAME?,20277,i xDrive Coupé //SoftClose Laserlicht DisplayKey
51969,dodge,Dodge Durango,black,23-May,2023,76950,268,364,Automatic,Petrol,18 l/100 km,387 g/km,1501,"5,7 R/T Supertrack"
74152,ford,Ford Mustang Mach-E,grey,22-Aug,2022,76950,358,487,Automatic,Electric,,500 km Reichweite,10000,GT Allrad Panorama Navi digitales Cockpit Memory S
85826,jaguar,Jaguar F-Type,green,23-Mar,2023,76950,221,300,Automatic,Petrol,"9,5 l/100 km",217 g/km,3500,Cabriolet P300 R-Dynamic
128794,mercedes-benz,Mercedes-Benz V 250,grey,23-Mar,2023,76950,140,190,Automatic,Diesel,"6,4 l/100 km",168 g/km,9000,d lang LED*AHK*Navi*PDC*Kamera*Distronic
129040,mercedes-benz,Mercedes-Benz GLC 300,silver,23-Feb,2023,76950,150,204,Automatic,Hybrid,,127 km Reichweite,6000,e 4M Avantgarde PanoD Distr DgitalLight
243606,volkswagen,Volkswagen T6.1 California,beige,22-Jun,2022,76950,110,150,Automatic,Diesel,"7,9 l/100 km",208 g/km,8188,2.0 TDI DSG Ocean / Navi / ACC
244827,volkswagen,Volkswagen T6.1 California,silver,22-Mar,2022,76950,110,150,Automatic,Diesel,"8,3 l/100 km",217 g/km,1010,"Coast Edition 2,0 l TDI 110 kW DSG Klima Navi"
43112,bmw,BMW 540,black,23-May,2023,76910,250,340,Automatic,Diesel,"6,1 l/100 km",160 g/km,100,d xDrive Touring  Pano.Dach 19´M LMR AHK schwenkba
6856,audi,Audi R8,black,12-Mar,2012,76900,316,430,Automatic,Petrol,"14,4 l/100 km",337 g/km,65000,Spyder 4.2 FSI quattro*B&O*NAVI./CAM.*LEDER*
18510,audi,Audi Q8,orange,19-Jan,2019,76900,210,286,Automatic,Diesel,"6,8 l/100 km",179 g/km,66000,50 TDI quattro S-Line Plus *Garantie*Matrix
41805,bmw,BMW 745,black,21-Feb,2021,76900,290,394,Automatic,Hybrid,"2,4 l/100 km",55 g/km,23327,Le xDrive FOND ENT+HAR/KAR+ACC+360°KAM+SITZBELÜFTU
42320,bmw,BMW iX,grey,22-Dec,2022,76900,240,326,Automatic,Electric,,0 g/km,2900,xDrive40 Sportpaket / AHK / Sky-Lounge / auch Expo
42968,bmw,BMW 540,grey,23-Feb,2023,76900,245,333,Automatic,Petrol,"7,2 l/100 km",164 g/km,50,i xDrive M Sport 899€ mtl. Rate ohne Anzahl.
94304,land-rover,Land Rover Defender,grey,16-Jan,2016,76900,90,122,Manual,Diesel,10 l/100 km,265 g/km,51650,90 Adventure -  RAPTOR 4x4 Dachträger
95324,land-rover,Land Rover Range Rover,grey,19-Feb,2019,76900,202,275,Automatic,Diesel,"7,6 l/100 km",199 g/km,85450,"Vogue, AHK,PanoSD,Pixel,HuD,BlackP"
95771,land-rover,Land Rover Range Rover Sport,white,19-Oct,2019,76900,221,300,Automatic,Hybrid,"3,2 l/100 km",73 g/km,67400,HSE Dynamic Hybrid
96329,land-rover,Land Rover Range Rover,black,21-Apr,2021,76900,221,300,Automatic,Diesel,"6,9 l/100 km",183 g/km,24800,90 D300 X-Dynamic HSE AHK-el. klappb. El. Panodach
97358,maserati,Maserati GranTurismo,black,17-Jan,2017,76900,338,460,Automatic,Petrol,"14,3 l/100 km",331 g/km,24500,4.7 V8 Sport Aut. NAVI LEDER BOSE
97553,maserati,Maserati GranTurismo,blue,20-Aug,2020,76900,338,460,Automatic,Petrol,"14,3 l/100 km",331 g/km,50,Sport*Sonderleasing*
120060,mercedes-benz,Mercedes-Benz SL 500,black,17-Mar,2017,76900,335,455,Automatic,Petrol,9 l/100 km,205 g/km,39900,"AMG, Original 39.900km, Magic Sky !"
127261,mercedes-benz,Mercedes-Benz V 300,silver,21-Aug,2021,76900,176,239,Automatic,Diesel,"5,9 l/100 km",155 g/km,75055,AMG  AIR/PANO/DISTR/BURM/360°/LEDER/STHZG
164973,porsche,Porsche 997,black,11-Jan,2011,76900,283,385,Manual,Petrol,"10,8 l/100 km",256 g/km,42500,(911) Carrera S Cabrio | Sportabgasanlage |
165944,porsche,Porsche Panamera,black,16-Dec,2016,76900,324,441,Automatic,Petrol,"8,1 l/100 km",184 g/km,21285,4S
166284,porsche,Porsche Macan,grey,17-Jul,2017,76900,324,441,Automatic,Petrol,"9,5 l/100 km",225 g/km,51300,Turbo mit Performance Paket Luftfederung
166887,porsche,Porsche Cayman,green,18-Jul,2018,76900,269,366,Automatic,Petrol,"8,2 l/100 km",186 g/km,62000,GTS - Approved 03/25 -neue Wartung/Reifen
167098,porsche,Porsche Cayenne,black,18-Jul,2018,76900,324,441,Automatic,Petrol,"9,2 l/100 km",209 g/km,99999,S/BURMESTER/LED/LUFTFEDERUNG/DIGITALRADIO/LEDER
